level_0,level_1,1,2,3,4
"(4, 0)","(4, 1)",-334.40295407413674,-337.1052333391989,-335.7426917129934,-332.83151828016935
"(5, 0)","(4, 1)",-342.1196070549655,-347.3357163756174,-347.33492419358765,-335.7047685797927
"(3, 0)","(4, 1)",-329.94021955081405,-331.98240339831847,-326.6644868311928,-332.04137995914436
"(2, 0)","(4, 1)",-326.4745105709925,-329.049573683451,-329.47944113040717,-330.34787851025027
"(1, 0)","(4, 1)",-324.047427931691,-325.1564777714177,-322.7324577136956,-321.9842312022186
"(0, 0)","(4, 1)",-327.0237821591862,-321.8925337234176,-327.0237821591862,-326.2432813521648
"(5, 1)","(4, 1)",-324.9543116967603,-335.6848031013069,-346.8889656746352,-339.238525931961
"(4, 1)","(3, 1)",-313.08516333006094,-334.05781344772294,-315.38647217022077,-335.9161059681924
"(3, 1)","(2, 1)",-300.08602356571816,-325.7122645492896,-317.7717709082306,-315.85167654514964
"(2, 1)","(1, 1)",-300.07637377834,-310.66566523719183,-285.94547834921025,-302.7785988045381
"(3, 1)","(1, 1)",-298.46253079904625,-303.5916865136329,-298.46160729268007,-299.6289034037426
"(2, 0)","(1, 1)",-270.65199833253564,-297.7639614172906,-285.93963614396944,-299.0629108909493
"(1, 0)","(1, 1)",-277.59992777625354,-285.8212181923253,-270.5519546483307,-256.21413972983396
"(0, 0)","(1, 1)",-274.4228694557785,-270.05178184632695,-274.4228694557785,-269.7085442016902
"(3, 0)","(1, 1)",-285.87401865159507,-294.6811643842745,-289.6685844255438,-288.56794048814595
"(2, 2)","(1, 1)",-292.8949064988386,-289.9057292493271,-294.83926159594597,-509.5
"(1, 2)","(1, 1)",-285.0293990701377,-286.27263245850054,-285.0716209704815,-284.80862688944353
"(0, 2)","(1, 1)",-282.05075510849963,-280.4792736004181,-282.05675827205596,-280.51978840612543
"(3, 2)","(1, 1)",-292.48601213420994,-297.7678272064992,-296.74193782046035,-510.0
"(4, 1)","(1, 1)",-301.0656493507816,-304.28364470146334,-299.8565019443675,-296.52618834678617
"(4, 0)","(1, 1)",-297.74350016962467,-311.2309533845485,-296.3962807993058,-296.0078749044975
"(4, 2)","(1, 1)",-296.1409977839712,-297.29249906314305,-300.6792955590239,-510.5
"(1, 1)","(1, 2)",-265.3261677504115,-270.5879345797615,-267.8536374722268,-242.64054518165045
"(0, 1)","(1, 2)",-259.17715448601297,-255.12571928910432,-260.37293043669814,-255.47521217438697
"(2, 1)","(1, 2)",-256.2141329682551,-258.36372402167405,-256.7027228564405,-256.6152166100746
"(1, 0)","(1, 2)",-259.56532698810884,-257.3053037591706,-259.17715448601297,-255.78428822005054
"(0, 0)","(1, 2)",-259.0519122807792,-259.22482635412825,-259.0519122807792,-261.12730395619553
"(2, 0)","(1, 2)",-259.2043091822233,-262.4068228922944,-258.46832060917205,-256.2357770129145
"(1, 2)","(1, 3)",-253.02609449309432,-255.86495659064252,-248.9458309881378,-229.93994462792978
"(0, 2)","(1, 3)",-243.93143951624742,-241.59696974755377,-245.89592871231383,-242.53785883018486
"(2, 2)","(1, 3)",-242.62125686434194,-246.2539601792776,-248.25571043258617,-507.5
"(1, 1)","(1, 3)",-242.77690770767884,-249.8449056939063,-247.48096921619623,-241.29704336338642
"(0, 1)","(1, 3)",-244.66013937629145,-243.01646320668124,-249.48771332694125,-243.8499829395612
"(2, 1)","(1, 3)",-247.55163037009066,-248.00873001046614,-251.65174248969305,-251.06737937733516
"(1, 0)","(1, 3)",-244.08143621323876,-250.97056743616545,-248.4461479518729,-246.1970782033992
"(0, 0)","(1, 3)",-243.52608497843914,-247.67436181403997,-243.52608497843914,-245.20769670642736
"(2, 0)","(1, 3)",-244.7593365150172,-249.8084939923226,-251.30845455354694,-252.02667199442774
"(1, 3)","(1, 4)",-222.21344043069757,-1014.9961280822754,-230.45862282469275,-218.12115618982807
"(0, 3)","(1, 4)",-215.55620070720317,-219.32459223670588,-218.90018049699535,-210.48480820389878
"(2, 3)","(1, 4)",0.0,0.0,0.0,0.0
"(4, 1)","(4, 2)",-325.9960972846724,-324.5743141398476,-326.763443330324,-885.5
"(3, 1)","(4, 2)",-320.2201338859146,-325.84964546132437,-323.8954837774989,-320.5122807295375
