level_0,level_1,1,2,3,4
"(5, 0)","(4, 1)",-832.3935012408897,-599.7637895262767,-617.1566348550583,-294.0419756544312
"(4, 0)","(4, 1)",-827.879533764843,-832.8170794444062,-828.6447807795481,-827.079833501926
"(3, 0)","(4, 1)",-825.2864683442056,-825.3824502029565,-825.8268664969098,-823.8644200248548
"(2, 0)","(4, 1)",-824.7518173940017,-823.5703044895174,-822.6016580218909,-822.683014752105
"(1, 0)","(4, 1)",-821.7623394249899,-823.4702598974782,-821.2733225316413,-822.4508390539339
"(0, 0)","(4, 1)",-818.3613905601594,-821.6390276830093,-818.5565626873341,-818.35040551851
"(5, 1)","(4, 1)",-280.82014402581876,-827.602239149733,-617.5942739918131,-833.0111495650829
"(4, 1)","(3, 1)",-267.93796292710886,-822.767362762185,-820.8824703591154,-821.0952958967673
"(3, 1)","(2, 1)",-254.3807975303307,-814.2881256040961,-813.9986353863512,-816.6096958017972
"(2, 1)","(1, 1)",-740.2770204787782,-806.1191822652977,-239.84661768908913,-809.97338726621
"(3, 1)","(1, 1)",-808.1341843581773,-805.1615727300527,-803.0081075156102,-805.9108246730166
"(2, 0)","(1, 1)",-224.24021883866163,-802.0933612705011,-333.3059686004613,-798.9777796740518
"(1, 0)","(1, 1)",-791.0229034618081,-541.9831598769186,-790.6245488785452,-209.53415547987038
"(0, 0)","(1, 1)",-791.7429761293556,-524.6973382862365,-791.2229741175036,-790.4887396146335
"(3, 0)","(1, 1)",-801.1367060669687,-800.8104728917493,-801.3276617721241,-804.1497103456823
"(2, 2)","(1, 1)",-802.7831381816517,-805.5818051041575,-803.5075035366121,-891.625
"(1, 2)","(1, 1)",-797.9506134678231,-842.0060668334921,-798.6116816499365,-795.457218291617
"(0, 2)","(1, 1)",-793.7451668443057,-795.5577045741707,-793.4927055783784,-791.4927864887281
"(3, 2)","(1, 1)",-802.396847033792,-803.382925438289,-805.9878717562214,-892.5
"(4, 1)","(1, 1)",-806.2692795328446,-806.5092170952134,-805.0942110808644,-801.8718799591497
"(4, 0)","(1, 1)",-801.7465947816905,-800.6244476448967,-800.6694895131152,-805.425747540445
"(4, 2)","(1, 1)",-802.2883884572142,-802.8170888931456,-800.1576411274752,-893.375
"(1, 1)","(1, 2)",-790.7274225757897,-612.9242145860001,-657.5297144867423,-195.72176479253216
"(0, 1)","(1, 2)",-786.0043123738072,-787.7311923361457,-788.1052834130185,-784.3583881571585
"(2, 1)","(1, 2)",-613.2131983783297,-792.3505130814556,-794.0107367098592,-791.882813152763
"(1, 0)","(1, 2)",-792.4828568909747,-795.2048842862052,-794.595513843108,-369.51047317207514
"(0, 0)","(1, 2)",-791.1322820991661,-793.0041329582514,-789.3206751391906,-788.4574024375322
"(2, 0)","(1, 2)",-791.4474748243321,-794.30275324166,-791.5338325110091,-701.1266181149394
"(1, 2)","(1, 3)",-794.3090593902397,-753.8269370918222,-798.8798626775733,-182.8088938868839
"(0, 2)","(1, 3)",-794.2736321389887,-796.2281864372995,-794.6700105230015,-841.1621032061757
"(2, 2)","(1, 3)",-472.9640015640154,-793.7163742128674,-796.7801484507656,-888.125
"(1, 1)","(1, 3)",-798.472301356762,-796.10972030429,-797.1626827619313,-500.2003555449758
"(0, 1)","(1, 3)",-795.0843743631505,-794.4150299318824,-798.4232321118652,-796.144509482795
"(2, 1)","(1, 3)",-797.424125062811,-793.2421023341786,-796.8173295993462,-795.8794009137823
"(1, 0)","(1, 3)",-795.732334668824,-797.6157451952946,-796.0235941955548,-798.3153392238005
"(0, 0)","(1, 3)",-797.7036114347213,-797.7555947153933,-795.6923704405115,-795.4347198363268
"(2, 0)","(1, 3)",-795.5704913859795,-798.0485126374949,-793.3904316523981,-793.7692262515329
"(1, 3)","(1, 4)",-660.5298775282594,-1007.0703125,-666.391102071715,-170.80706151458946
"(0, 3)","(1, 4)",-657.85806681495,-656.8978772796964,-662.2793979189864,-656.0917644075139
"(2, 3)","(1, 4)",0.0,0.0,0.0,0.0
"(4, 1)","(4, 2)",-824.2700215881763,-823.3224563032793,-823.4811286940694,-980.375
"(3, 1)","(4, 2)",-820.7463179396316,-822.5543228725587,-822.3808387712918,-823.001278053163
"(2, 1)","(4, 2)",-817.2290671932445,-815.2444812085365,-818.6909798679476,-815.7328166552054
"(1, 1)","(4, 2)",-815.7840181440538,-816.8232100761074,-815.1674580154063,-813.6495165735366
"(0, 1)","(4, 2)",-813.8291619167578,-814.2761039982702,-814.8831609785689,-814.3197080368212
"(5, 1)","(4, 2)",-819.9002982212298,-820.0161744587188,-819.3359679284429,-816.4139593280418
"(4, 0)","(4, 2)",-821.9863199030461,-823.1063996511953,-820.7228973885726,-824.1656039095192
"(3, 0)","(4, 2)",-820.5107970823535,-823.0754693909055,-821.1824417958853,-821.4289999268323
"(2, 0)","(4, 2)",-817.7423371567131,-820.0132691501736,-815.6222990541587,-817.5869792419637
"(1, 0)","(4, 2)",-815.1720438126786,-816.2348708525128,-813.2697163997782,-816.4076960917243
"(0, 0)","(4, 2)",-814.132214142556,-815.8389688901839,-815.0566598106814,-815.4270688867293
"(5, 0)","(4, 2)",-822.6225394027183,-819.2321571677214,-819.6359251287398,-820.1671427004665
"(4, 2)","(4, 3)",0.0,0.0,0.0,0.0
"(3, 2)","(4, 2)",-852.2338814559191,-824.2195759719418,-823.8838129398708,-887.25
"(2, 2)","(4, 2)",-814.2622164337868,-817.1814076943089,-813.4464003548363,-983.28125
"(1, 2)","(4, 2)",-811.4829527460372,-873.853951286223,-816.0358786652034,-811.9222524352388
"(0, 2)","(4, 2)",-810.8230940535266,-812.852635701507,-812.9063235805652,-811.4981629778391
"(5, 2)","(4, 2)",-802.254579899615,-814.7322442745373,-817.0946929892697,-950.625
"(4, 2)","(3, 2)",-768.6964812785072,-809.6980191924988,-808.797612365918,-951.5625
"(3, 2)","(2, 2)",-713.9234462913787,-802.977495981436,-804.106870321317,-889.0
"(2, 2)","(1, 2)",-799.3840575942709,-800.2150965974829,-656.6667212572806,-889.875
"(3, 2)","(1, 2)",-800.3253657713499,-797.7407969698313,-799.2005661791163,-890.75
"(3, 1)","(1, 2)",-796.0816673069623,-794.687702630667,-795.1106699414286,-797.9824643476286
"(3, 0)","(1, 2)",-791.1522894586517,-795.4891514777293,-792.0946830677268,-796.33394059499
"(2, 3)","(1, 2)",0.0,0.0,0.0,0.0
"(5, 2)","(4, 1)",-842.5558795179047,-830.9325702624976,-626.322166359769,-889.0
"(4, 2)","(4, 1)",-822.5902701084735,-823.5110112266138,-821.5053261422213,-888.125
"(3, 2)","(4, 1)",-821.8978627912611,-821.7923150919789,-822.9393896963464,-889.0
"(2, 2)","(4, 1)",-821.8528662059293,-821.0009257788485,-820.2763110808311,-889.875
"(1, 2)","(4, 1)",-819.8503318531536,-821.0403971343867,-818.400907389725,-818.136847179519
"(0, 2)","(4, 1)",-817.0753727248812,-819.7280506897973,-817.6370671564746,-816.5592569895321
"(5, 1)","(3, 1)",-820.2543457801623,-821.8318920943026,-820.2134276532112,-822.0033036769885
"(4, 0)","(3, 1)",-819.322542332078,-818.7963826167133,-818.6484205773337,-817.214995391643
"(3, 0)","(3, 1)",-817.5609089873706,-816.1581037144838,-815.5831252483174,-842.8872570940501
"(2, 0)","(3, 1)",-813.6064184285867,-813.0122855993184,-813.2713623457,-814.5954279540467
"(1, 0)","(3, 1)",-814.5516409700433,-811.7449359190039,-811.0159501725577,-812.0394068518827
"(0, 0)","(3, 1)",-813.6246861179237,-812.163104740587,-813.6246861179237,-812.8367473151504
"(5, 0)","(3, 1)",-820.7279319378515,-820.9269920057534,-819.0482346225216,-818.1651207017608
"(4, 2)","(3, 1)",-819.8487063051805,-820.8759902693037,-819.2243220569017,-889.875
"(3, 2)","(3, 1)",-817.6748779081777,-819.2569786371071,-816.4544455551619,-889.0
"(2, 2)","(3, 1)",-814.1371676858668,-816.2924616502551,-814.8893375116088,-889.875
"(1, 2)","(3, 1)",-808.595317977539,-812.445655847421,-811.8326397418449,-808.2348400598805
"(0, 2)","(3, 1)",-809.6188036418918,-809.728033013519,-808.4083548028003,-811.5738975265128
"(5, 2)","(3, 1)",-821.0134506221411,-820.9069810809199,-821.1731444976904,-890.75
"(4, 1)","(2, 1)",-811.6240354082233,-814.376764677487,-811.8503863282679,-814.9041255861767
